日期,金额,分类,二级分类,备注,收支
2026-03-01 18:31,800.0,恋爱,小荷包,小荷包,支出
2026-03-01 14:48,44.21,购物,日化,发膜,支出
2026-03-01 23:54,16.0,副业,剪映会员,剪映会员,支出
2026-03-01 14:39,4.0,旅游,上海,地铁,支出
2026-03-01 22:40,4.0,交通,南京地铁,南京地铁,支出
2026-03-01 20:20,3.0,旅游,上海,地铁,支出
2026-03-02 18:27,700.0,房租,房租水电,房租水电,支出
2026-03-02 11:48,26.4,餐饮,三餐,午饭,支出
2026-03-02 13:12,12.8,餐饮,零食,零食,支出
2026-03-02 09:32,9.43,餐饮,三餐,早餐,支出
2026-03-03 18:35,165.0,宠物,B超,B超,支出
2026-03-03 01:08,33.6,购物,服饰,罩衫,支出
2026-03-03 01:07,26.6,购物,服饰,瑜伽裤,支出
2026-03-03 18:35,10.5,交通,打车,打车,支出
2026-03-03 17:58,8.8,餐饮,三餐,晚餐,支出
2026-03-03 21:59,7.5,餐饮,零食,零食,支出
2026-03-04 18:15,3.8,餐饮,三餐,晚餐,支出
2026-03-05 09:39,17.58,餐饮,三餐,早餐,支出
2026-03-05 18:08,5.5,餐饮,零食,零食,支出
2026-03-06 14:19,129.0,社交,蛋糕,蛋糕,支出
2026-03-06 15:29,45.0,恋爱,情人节礼物,情人节礼物,支出
2026-03-06 22:59,41.4,餐饮,零食,零食,支出
2026-03-06 09:40,3.32,餐饮,三餐,早餐,支出
2026-03-07 21:05,12.5,交通,滴滴打车,滴滴打车,支出
2026-03-08 10:36,138.0,购物,日化,防晒,支出
2026-03-08 17:17,49.9,购物,日化,口红,支出
2026-03-09 18:26,5.87,餐饮,三餐,晚餐,支出
2026-03-10 19:42,95.3,餐饮,三餐,午餐,支出
2026-03-10 17:44,35.8,购物,百货,储物柜,支出
2026-03-10 11:26,32.51,餐饮,三餐,午餐,支出
2026-03-10 17:38,18.9,宠物,尿垫,尿垫,支出
2026-03-10 17:37,12.8,购物,百货,加热杯垫,支出
2026-03-10 22:27,10.6,餐饮,零食,零食,支出
2026-03-10 13:12,7.9,餐饮,零食,零食,支出
2026-03-11 15:48,43.8,购物,日化,发膜,支出
2026-03-11 19:47,31.9,宠物,猫粮,猫粮,支出
2026-03-11 20:48,30.5,餐饮,三餐,外卖,支出
2026-03-11 09:47,25.9,宠物,电热毯,电热毯,支出
2026-03-11 19:41,6.8,餐饮,零食,零食,支出
2026-03-12 14:29,80.0,学习,PMP考试,PMP考试,支出
2026-03-12 10:51,35.0,宠物,猫奶粉,猫奶粉,支出
2026-03-12 16:09,16.8,学习,软考培训,软考培训,支出
2026-03-12 21:32,6.0,餐饮,零食,零食,支出
2026-03-13 10:13,21.7,宠物,小猫宝宝,小猫宝宝,支出
2026-03-13 09:35,10.9,餐饮,三餐,早餐,支出
2026-03-14 21:07,129.0,旅游,扬州,按摩,支出
2026-03-14 18:38,43.52,旅游,扬州,酸奶,支出
2026-03-14 16:33,42.0,宠物,猫罐头,猫罐头,支出
2026-03-14 01:45,12.7,交通,滴滴打车,滴滴打车,支出
2026-03-15 00:05,129.0,恋爱,扬州,按摩,支出
2026-03-15 23:19,63.0,旅游,扬州,扬州,支出
2026-03-15 17:01,62.16,购物,服饰,饰品闪蝶,支出
2026-03-15 20:33,55.0,旅游,扬州,扬州,支出
2026-03-15 21:03,49.67,旅游,扬州,扬州,支出
2026-03-15 20:37,42.52,购物,日化,护发素,支出
2026-03-15 16:45,39.0,旅游,扬州,冰箱贴,支出
2026-03-15 23:19,38.67,旅游,扬州,扬州,支出
2026-03-15 15:56,37.59,旅游,扬州,冰箱贴,支出
2026-03-15 20:33,34.34,旅游,扬州,扬州,支出
2026-03-15 23:19,31.67,旅游,扬州,扬州,支出
2026-03-15 20:33,15.42,旅游,扬州,扬州,支出
